loop_name,N,seconds,TFLOPS,AI
convergence_loop,201,0.0000617500,0.0012826235,0.1250
update_loop,201,0.0000312920,0.0075931868,0.1250
convergence_loop,201,0.0000621250,0.0012748813,0.1250
update_loop,201,0.0000245840,0.0096650667,0.1250
convergence_loop,201,0.0000473340,0.0016732581,0.1250
update_loop,201,0.0000367080,0.0064728669,0.1250
convergence_loop,201,0.0000548330,0.0014444222,0.1250
update_loop,201,0.0000296670,0.0080091010,0.1250
convergence_loop,201,0.0000620420,0.0012765868,0.1250
update_loop,201,0.0000284170,0.0083614034,0.1250
convergence_loop,201,0.0000588340,0.0013461944,0.1250
update_loop,201,0.0000232090,0.0102376664,0.1250
convergence_loop,201,0.0000695000,0.0011395971,0.1250
update_loop,201,0.0000307080,0.0077375928,0.1250
convergence_loop,201,0.0000475000,0.0016674105,0.1250
update_loop,201,0.0000179590,0.0132304694,0.1250
convergence_loop,201,0.0000758750,0.0010438484,0.1250
update_loop,201,0.0000358750,0.0066231638,0.1250
convergence_loop,201,0.0000553330,0.0014313701,0.1250
update_loop,201,0.0000320840,0.0074057474,0.1250
convergence_loop,201,0.0000598750,0.0013227891,0.1250
update_loop,201,0.0000300000,0.0079202000,0.1250
convergence_loop,201,0.0000581670,0.0013616312,0.1250
update_loop,201,0.0000273750,0.0086796712,0.1250
convergence_loop,201,0.0000585840,0.0013519391,0.1250
update_loop,201,0.0000280420,0.0084732187,0.1250
convergence_loop,201,0.0000662920,0.0011947445,0.1250
update_loop,201,0.0000280830,0.0084608482,0.1250
convergence_loop,201,0.0000420840,0.0018819979,0.1250
update_loop,201,0.0000191250,0.0124238431,0.1250
convergence_loop,201,0.0000708330,0.0011181511,0.1250
update_loop,201,0.0000274580,0.0086534343,0.1250
convergence_loop,201,0.0000610000,0.0012983934,0.1250
update_loop,201,0.0000197910,0.0120057602,0.1250
convergence_loop,201,0.0000558750,0.0014174855,0.1250
update_loop,201,0.0000188340,0.0126158012,0.1250
convergence_loop,201,0.0000673330,0.0011762731,0.1250
update_loop,201,0.0000291670,0.0081463983,0.1250
convergence_loop,201,0.0000592080,0.0013376909,0.1250
update_loop,201,0.0000269580,0.0088139328,0.1250
convergence_loop,201,0.0000640420,0.0012367197,0.1250
update_loop,201,0.0000257920,0.0092123914,0.1250
convergence_loop,201,0.0000624160,0.0012689375,0.1250
update_loop,201,0.0000473330,0.0050198804,0.1250
convergence_loop,201,0.0000589170,0.0013442979,0.1250
update_loop,201,0.0000245000,0.0096982041,0.1250
convergence_loop,201,0.0000577500,0.0013714632,0.1250
update_loop,201,0.0000313330,0.0075832509,0.1250
convergence_loop,201,0.0000605410,0.0013082374,0.1250
update_loop,201,0.0000242080,0.0098151851,0.1250
convergence_loop,201,0.0000558330,0.0014185518,0.1250
update_loop,201,0.0000252920,0.0093945121,0.1250
convergence_loop,201,0.0000545000,0.0014532477,0.1250
update_loop,201,0.0000238750,0.0099520838,0.1250
convergence_loop,201,0.0000587080,0.0013490836,0.1250
update_loop,201,0.0000313330,0.0075832509,0.1250
convergence_loop,201,0.0000590420,0.0013414518,0.1250
update_loop,201,0.0000285000,0.0083370526,0.1250
convergence_loop,201,0.0000661250,0.0011977618,0.1250
update_loop,201,0.0000256670,0.0092572564,0.1250
convergence_loop,201,0.0000512910,0.0015441695,0.1250
update_loop,201,0.0000315000,0.0075430476,0.1250
convergence_loop,201,0.0000594590,0.0013320439,0.1250
update_loop,201,0.0000264580,0.0089804974,0.1250
convergence_loop,201,0.0000625420,0.0012663810,0.1250
update_loop,201,0.0000242920,0.0097812449,0.1250
convergence_loop,201,0.0000580420,0.0013645636,0.1250
update_loop,201,0.0000355000,0.0066931268,0.1250
convergence_loop,201,0.0000534580,0.0014815743,0.1250
update_loop,201,0.0000226250,0.0105019227,0.1250
convergence_loop,201,0.0000605000,0.0013091240,0.1250
update_loop,201,0.0000181250,0.0131092966,0.1250
convergence_loop,201,0.0000615840,0.0012860808,0.1250
update_loop,201,0.0000331250,0.0071730113,0.1250
convergence_loop,201,0.0000393340,0.0020135760,0.1250
update_loop,201,0.0000316250,0.0075132332,0.1250
convergence_loop,201,0.0000597080,0.0013264889,0.1250
update_loop,201,0.0000292080,0.0081349630,0.1250
convergence_loop,201,0.0000407500,0.0019436074,0.1250
update_loop,201,0.0000201670,0.0117819210,0.1250
convergence_loop,201,0.0000713750,0.0011096602,0.1250
update_loop,201,0.0000221250,0.0107392542,0.1250
convergence_loop,201,0.0000605420,0.0013082158,0.1250
update_loop,201,0.0000373330,0.0063645033,0.1250
convergence_loop,201,0.0000551670,0.0014356771,0.1250
update_loop,201,0.0000332910,0.0071372443,0.1250
convergence_loop,201,0.0000524590,0.0015097886,0.1250
update_loop,201,0.0000217500,0.0109244138,0.1250
convergence_loop,201,0.0000487090,0.0016260239,0.1250
